account_id,account_name,domain,industry,region,segment,tier,status,arr,employee_count,owner_id,renewal_date,health_score,created_at
ACC-1033,Prism Analytics,prismanalytics.com,Healthcare,AMER,Enterprise,Tier 1,Customer,362000,8356,USR-3006,2027-05-09,48,2025-11-06
ACC-1034,Cobalt Mining,cobaltmining.com,Retail & E-commerce,EMEA,SMB,Tier 3,Prospect,0,278,USR-3007,,70,2024-08-26
ACC-1035,Sentry Security,sentrysecurity.com,Cybersecurity,APAC,SMB,Tier 3,Prospect,0,388,USR-3009,,71,2026-01-24
ACC-1036,Helios Power,heliospower.com,Data & Analytics,AMER,Mid-Market,Tier 2,Prospect,0,439,USR-3010,,78,2023-11-04
ACC-1037,Fortress Bank,fortressbank.com,Media & Telecom,EMEA,Mid-Market,Tier 2,Customer,116000,1036,USR-3011,2027-02-15,65,2022-10-19
ACC-1038,Clarity Health,clarityhealth.com,Energy & Utilities,APAC,SMB,Tier 3,Prospect,0,113,USR-3012,,75,2024-01-24
ACC-1039,Nouveau Retail,nouveauretail.com,Manufacturing,AMER,SMB,Tier 3,Customer,45000,349,USR-3013,2027-05-07,46,2025-10-02
ACC-1040,Orion Aerospace,orionaerospace.com,Enterprise Software,AMER,Enterprise,Tier 1,Customer,303000,8206,USR-3001,2026-11-29,69,2024-09-08
ACC-1041,Hyperion Cloud,hyperioncloud.com,Financial Services,APAC,Mid-Market,Tier 2,Customer,129000,1462,USR-3002,2026-07-15,80,2023-09-10
ACC-1042,Astral Media,astralmedia.com,Cloud Infrastructure,AMER,Mid-Market,Tier 2,Customer,171000,1750,USR-3005,2026-09-26,48,2025-08-29
ACC-1043,Summit Financial,summitfinancial.com,Healthcare,EMEA,Enterprise,Tier 1,Customer,384000,3104,USR-3006,2026-09-14,48,2023-05-09
ACC-1044,Vector Biotech,vectorbiotech.com,Retail & E-commerce,AMER,Enterprise,Tier 1,Customer,223000,5853,USR-3007,2026-09-12,79,2024-08-14
ACC-1045,Eclipse Systems,eclipsesystems.com,Cybersecurity,AMER,Mid-Market,Tier 2,Prospect,0,2351,USR-3009,,66,2023-06-07
ACC-1046,Matrix Logistics,matrixlogistics.com,Data & Analytics,EMEA,Mid-Market,Tier 2,Customer,177000,2282,USR-3010,2027-02-14,46,2025-12-06
ACC-1047,Northwind Foods,northwindfoods.com,Media & Telecom,APAC,Enterprise,Tier 1,Customer,358000,11139,USR-3011,2027-01-09,68,2023-07-04
ACC-1048,Ironclad Insurance,ironcladinsurance.com,Energy & Utilities,AMER,Enterprise,Tier 1,Customer,367000,11030,USR-3012,2027-06-28,53,2023-03-10
ACC-1049,Silverline Telecom,silverlinetelecom.com,Manufacturing,EMEA,SMB,Tier 3,Customer,51000,223,USR-3013,2026-12-09,54,2025-08-13
ACC-1050,Redwood Capital,redwoodcapital.com,Enterprise Software,APAC,Enterprise,Tier 1,Prospect,0,2775,USR-3001,,71,2023-12-28
ACC-1051,Bluepeak Software,bluepeaksoftware.com,Financial Services,AMER,SMB,Tier 3,Prospect,0,209,USR-3002,,89,2025-05-07
ACC-1052,Granite Utilities,graniteutilities.com,Cloud Infrastructure,AMER,Enterprise,Tier 1,Customer,188000,8485,USR-3005,2026-11-02,59,2025-08-12
ACC-1053,Meridian Health,meridianhealth.com,Healthcare,APAC,Mid-Market,Tier 2,Customer,151000,618,USR-3006,2027-06-01,76,2024-11-05
ACC-1054,Copperfield Retail,copperfieldretail.com,Retail & E-commerce,AMER,Mid-Market,Tier 2,Prospect,0,1922,USR-3007,,44,2024-02-27
ACC-1055,Lakeshore Manufacturing,lakeshoremanufacturing.com,Cybersecurity,EMEA,SMB,Tier 3,Customer,51000,167,USR-3009,2026-11-08,88,2023-02-23
ACC-1056,Ridgeline Data,ridgelinedata.com,Data & Analytics,AMER,Mid-Market,Tier 2,Customer,127000,1599,USR-3010,2026-09-26,84,2024-05-07
ACC-1057,Foxglove Labs,foxglovelabs.com,Media & Telecom,AMER,Enterprise,Tier 1,Prospect,0,6065,USR-3011,,71,2023-12-02
ACC-1058,Harborview Energy,harborviewenergy.com,Energy & Utilities,EMEA,SMB,Tier 3,Customer,45000,353,USR-3012,2027-03-27,68,2023-06-28
ACC-1059,Stonebridge Bank,stonebridgebank.com,Manufacturing,APAC,SMB,Tier 3,Customer,23000,89,USR-3013,2027-04-28,90,2023-08-18
ACC-1060,Wavelength Media,wavelengthmedia.com,Enterprise Software,AMER,Enterprise,Tier 1,Prospect,0,7112,USR-3001,,58,2025-02-02
