meeting_id,account_id,deal_id,organizer_id,title,meeting_type,scheduled_start,scheduled_end,duration_minutes,location,status,agenda,summary,key_points,next_steps,outcome,attendee_contact_ids,attendee_user_ids
MTG-6011,ACC-1003,DL-4022,USR-3006,CloudScale Systems / Intellia Demo,Demo,2026-06-24 17:30:00,2026-06-24 18:30:00,60,Microsoft Teams,Completed,Align business outcome goals with the executive sponsor,Competitive evaluation is down to two vendors. Send the mutual action plan by end of week.,"[""Security review is the critical path item"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Competitive evaluation is down to two vendors""]","[""Circulate pilot success criteria for sign-off"", ""Confirm the security questionnaire owner""]",Held,"[""CNT-2011""]","[""USR-3006""]"
MTG-6012,ACC-1003,DL-4022,USR-3006,CloudScale Systems / Intellia Internal Sync,Internal Sync,2026-07-01 15:00:00,2026-07-01 16:00:00,60,Google Meet,Completed,Quarterly business review and adoption update,Procurement requires an executive sponsor before paperwork moves. Send the mutual action plan by end of week.,"[""Budget is committed but the timing sits behind a leadership review"", ""Competitive evaluation is down to two vendors"", ""Champion is willing to socialize the business case internally""]","[""Confirm the security questionnaire owner"", ""Share the ROI model with finance""]",Slipped,"[""CNT-2013"", ""CNT-2011"", ""CNT-2014""]","[""USR-3006""]"
MTG-6013,ACC-1004,DL-4143,USR-3007,BioHealth Labs / Intellia QBR,QBR,2026-05-16 17:30:00,2026-05-16 18:00:00,30,Zoom,Completed,Technical deep dive on forecast accuracy,Forecast accuracy is the metric leadership actually cares about. Schedule the executive alignment call.,"[""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Procurement requires an executive sponsor before paperwork moves"", ""Competitive evaluation is down to two vendors""]","[""Circulate pilot success criteria for sign-off"", ""Send the mutual action plan by end of week""]",No decision,"[""CNT-2016""]","[""USR-3007""]"
MTG-6014,ACC-1004,DL-4083,USR-3007,BioHealth Labs / Intellia Discovery,Discovery,2026-05-29 10:30:00,2026-05-29 11:00:00,30,Zoom,Completed,"Renewal scope, timing and expansion options",Budget is committed but the timing sits behind a leadership review. Share the ROI model with finance.,"[""The data team wants incremental sync rather than full refresh"", ""Budget is committed but the timing sits behind a leadership review"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Schedule the executive alignment call"", ""Confirm the security questionnaire owner""]",No decision,"[""CNT-2015""]","[""USR-3007""]"
MTG-6015,ACC-1004,DL-4023,USR-3007,BioHealth Labs / Intellia Internal Sync,Internal Sync,2026-09-14 14:00:00,2026-09-14 14:30:00,30,Zoom,Scheduled,Review the pilot results and agree next steps,,[],[],,"[""CNT-2016"", ""CNT-2017""]","[""USR-3007""]"
MTG-6016,ACC-1004,DL-4083,USR-3007,BioHealth Labs / Intellia Discovery,Discovery,2026-09-19 10:00:00,2026-09-19 10:30:00,30,Customer site,Scheduled,Confirm the security review timeline and owners,,[],[],,"[""CNT-2018""]","[""USR-3007""]"
MTG-6017,ACC-1004,DL-4023,USR-3007,BioHealth Labs / Intellia Executive Briefing,Executive Briefing,2026-04-17 11:00:00,2026-04-17 11:45:00,45,Customer site,Completed,Confirm the security review timeline and owners,Security review is the critical path item. Get procurement paperwork started.,"[""Competitive evaluation is down to two vendors"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Procurement requires an executive sponsor before paperwork moves""]","[""Confirm the security questionnaire owner"", ""Share the ROI model with finance""]",Advanced,"[""CNT-2016""]","[""USR-3007""]"
MTG-6018,ACC-1004,DL-4023,USR-3007,BioHealth Labs / Intellia Internal Sync,Internal Sync,2026-07-27 12:00:00,2026-07-27 12:45:00,45,Zoom,Completed,Technical deep dive on forecast accuracy,Forecast accuracy is the metric leadership actually cares about. Confirm the security questionnaire owner.,"[""Security review is the critical path item"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Forecast accuracy is the metric leadership actually cares about""]","[""Circulate pilot success criteria for sign-off"", ""Confirm the security questionnaire owner""]",No decision,"[""CNT-2016"", ""CNT-2015""]","[""USR-3007""]"
MTG-6019,ACC-1005,DL-4084,USR-3009,OmniRetail Group / Intellia Executive Briefing,Executive Briefing,2026-04-22 09:00:00,2026-04-22 09:45:00,45,Microsoft Teams,Completed,"Renewal scope, timing and expansion options",Adoption is concentrated in two teams; the rest of the org has not onboarded. Send the mutual action plan by end of week.,"[""Security review is the critical path item"", ""Procurement requires an executive sponsor before paperwork moves"", ""Forecast accuracy is the metric leadership actually cares about""]","[""Circulate pilot success criteria for sign-off"", ""Share the ROI model with finance""]",Slipped,"[""CNT-2019"", ""CNT-2020""]","[""USR-3009""]"
MTG-6020,ACC-1005,DL-4024,USR-3009,OmniRetail Group / Intellia Negotiation,Negotiation,2026-05-06 11:00:00,2026-05-06 12:00:00,60,Google Meet,Completed,"Renewal scope, timing and expansion options",Security review is the critical path item. Get procurement paperwork started.,"[""Forecast accuracy is the metric leadership actually cares about"", ""Champion is willing to socialize the business case internally"", ""The data team wants incremental sync rather than full refresh""]","[""Circulate pilot success criteria for sign-off"", ""Share the ROI model with finance""]",Slipped,"[""CNT-2020""]","[""USR-3009""]"
MTG-6021,ACC-1005,DL-4024,USR-3011,OmniRetail Group / Intellia Executive Briefing,Executive Briefing,2026-06-30 14:00:00,2026-06-30 14:45:00,45,Google Meet,Completed,"Renewal scope, timing and expansion options",Security review is the critical path item. Confirm the security questionnaire owner.,"[""The data team wants incremental sync rather than full refresh"", ""Procurement requires an executive sponsor before paperwork moves"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Schedule the executive alignment call"", ""Share the ROI model with finance""]",No decision,"[""CNT-2020""]","[""USR-3011""]"
MTG-6022,ACC-1005,DL-4024,USR-3011,OmniRetail Group / Intellia QBR,QBR,2026-09-13 09:30:00,2026-09-13 10:00:00,30,Zoom,Scheduled,Align business outcome goals with the executive sponsor,,[],[],,"[""CNT-2019""]","[""USR-3011""]"
MTG-6023,ACC-1005,DL-4084,USR-3009,OmniRetail Group / Intellia QBR,QBR,2026-09-07 12:00:00,2026-09-07 13:00:00,60,Google Meet,Scheduled,Validate the data connector and custom signal mapping,,[],[],,"[""CNT-2019"", ""CNT-2020"", ""CNT-2021""]","[""USR-3009""]"
MTG-6024,ACC-1006,DL-4145,USR-3002,CyberGuard Networks / Intellia Negotiation,Negotiation,2026-06-12 10:30:00,2026-06-12 11:15:00,45,Google Meet,Completed,Confirm the security review timeline and owners,The data team wants incremental sync rather than full refresh. Share the ROI model with finance.,"[""Security review is the critical path item"", ""The data team wants incremental sync rather than full refresh"", ""Budget is committed but the timing sits behind a leadership review""]","[""Share the ROI model with finance"", ""Schedule the executive alignment call""]",No decision,"[""CNT-2024"", ""CNT-2023"", ""CNT-2022""]","[""USR-3002""]"
MTG-6025,ACC-1006,DL-4025,USR-3010,CyberGuard Networks / Intellia Demo,Demo,2026-05-17 16:00:00,2026-05-17 17:00:00,60,Customer site,Completed,Confirm the security review timeline and owners,Competitive evaluation is down to two vendors. Get procurement paperwork started.,"[""Champion is willing to socialize the business case internally"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""The data team wants incremental sync rather than full refresh""]","[""Circulate pilot success criteria for sign-off"", ""Schedule the executive alignment call""]",Slipped,"[""CNT-2022""]","[""USR-3010""]"
MTG-6026,ACC-1006,DL-4085,USR-3005,CyberGuard Networks / Intellia Negotiation,Negotiation,2026-08-02 08:00:00,2026-08-02 08:30:00,30,Microsoft Teams,Completed,Quarterly business review and adoption update,Champion is willing to socialize the business case internally. Circulate pilot success criteria for sign-off.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Security review is the critical path item"", ""The data team wants incremental sync rather than full refresh""]","[""Get procurement paperwork started"", ""Schedule the executive alignment call""]",No decision,"[""CNT-2024""]","[""USR-3005""]"
MTG-6027,ACC-1006,DL-4025,USR-3010,CyberGuard Networks / Intellia Negotiation,Negotiation,2026-08-15 15:30:00,2026-08-15 16:15:00,45,Microsoft Teams,Scheduled,Technical deep dive on forecast accuracy,,[],[],,"[""CNT-2023"", ""CNT-2022""]","[""USR-3010""]"
MTG-6028,ACC-1007,DL-4026,USR-3011,DataPulse AI / Intellia Negotiation,Negotiation,2026-06-13 09:30:00,2026-06-13 10:30:00,60,Microsoft Teams,Completed,Confirm the security review timeline and owners,Forecast accuracy is the metric leadership actually cares about. Confirm the security questionnaire owner.,"[""Champion is willing to socialize the business case internally"", ""The data team wants incremental sync rather than full refresh"", ""Budget is committed but the timing sits behind a leadership review""]","[""Share the ROI model with finance"", ""Send the mutual action plan by end of week""]",Held,"[""CNT-2025"", ""CNT-2027"", ""CNT-2028""]","[""USR-3011""]"
MTG-6029,ACC-1007,DL-4146,USR-3011,DataPulse AI / Intellia Demo,Demo,2026-08-31 13:30:00,2026-08-31 14:30:00,60,Customer site,Scheduled,Quarterly business review and adoption update,,[],[],,"[""CNT-2027""]","[""USR-3011""]"
MTG-6030,ACC-1007,DL-4086,USR-3011,DataPulse AI / Intellia Demo,Demo,2026-08-25 17:30:00,2026-08-25 18:15:00,45,Zoom,Scheduled,"Renewal scope, timing and expansion options",,[],[],,"[""CNT-2029""]","[""USR-3011""]"
MTG-6031,ACC-1007,DL-4146,USR-3011,DataPulse AI / Intellia Executive Briefing,Executive Briefing,2026-08-17 15:00:00,2026-08-17 15:30:00,30,Microsoft Teams,Scheduled,Quarterly business review and adoption update,,[],[],,"[""CNT-2030"", ""CNT-2026"", ""CNT-2025""]","[""USR-3011""]"
MTG-6032,ACC-1007,DL-4146,USR-3012,DataPulse AI / Intellia Internal Sync,Internal Sync,2026-05-19 11:00:00,2026-05-19 11:45:00,45,Customer site,Completed,Quarterly business review and adoption update,Competitive evaluation is down to two vendors. Circulate pilot success criteria for sign-off.,"[""Competitive evaluation is down to two vendors"", ""Champion is willing to socialize the business case internally"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Schedule the executive alignment call"", ""Get procurement paperwork started""]",Advanced,"[""CNT-2030""]","[""USR-3012""]"
MTG-6033,ACC-1008,DL-4087,USR-3012,Nexus Financial / Intellia Internal Sync,Internal Sync,2026-06-06 10:00:00,2026-06-06 10:30:00,30,Microsoft Teams,Completed,Confirm the security review timeline and owners,Procurement requires an executive sponsor before paperwork moves. Send the mutual action plan by end of week.,"[""Procurement requires an executive sponsor before paperwork moves"", ""The data team wants incremental sync rather than full refresh"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Get procurement paperwork started"", ""Schedule the executive alignment call""]",Slipped,"[""CNT-2036"", ""CNT-2034""]","[""USR-3012""]"
MTG-6034,ACC-1008,DL-4147,USR-3012,Nexus Financial / Intellia Negotiation,Negotiation,2026-07-21 10:30:00,2026-07-21 11:30:00,60,Customer site,Completed,Review the pilot results and agree next steps,Budget is committed but the timing sits behind a leadership review. Schedule the executive alignment call.,"[""Security review is the critical path item"", ""Procurement requires an executive sponsor before paperwork moves"", ""Budget is committed but the timing sits behind a leadership review""]","[""Schedule the executive alignment call"", ""Send the mutual action plan by end of week""]",Slipped,"[""CNT-2034""]","[""USR-3012""]"
MTG-6035,ACC-1008,DL-4027,USR-3012,Nexus Financial / Intellia Executive Briefing,Executive Briefing,2026-08-29 09:00:00,2026-08-29 09:30:00,30,Google Meet,Scheduled,Quarterly business review and adoption update,,[],[],,"[""CNT-2035"", ""CNT-2034"", ""CNT-2031""]","[""USR-3012""]"
MTG-6036,ACC-1008,DL-4087,USR-3012,Nexus Financial / Intellia Negotiation,Negotiation,2026-07-04 17:30:00,2026-07-04 18:00:00,30,Customer site,Completed,"Walk through pricing, packaging and the ramp plan",Procurement requires an executive sponsor before paperwork moves. Send the mutual action plan by end of week.,"[""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Competitive evaluation is down to two vendors"", ""The data team wants incremental sync rather than full refresh""]","[""Get procurement paperwork started"", ""Confirm the security questionnaire owner""]",Advanced,"[""CNT-2036"", ""CNT-2034"", ""CNT-2032""]","[""USR-3012""]"
MTG-6037,ACC-1008,DL-4087,USR-3007,Nexus Financial / Intellia Internal Sync,Internal Sync,2026-08-20 15:00:00,2026-08-20 15:45:00,45,Zoom,Scheduled,"Walk through pricing, packaging and the ramp plan",,[],[],,"[""CNT-2032""]","[""USR-3007""]"
MTG-6038,ACC-1008,DL-4087,USR-3012,Nexus Financial / Intellia Executive Briefing,Executive Briefing,2026-07-25 15:30:00,2026-07-25 16:00:00,30,Microsoft Teams,Completed,Quarterly business review and adoption update,Competitive evaluation is down to two vendors. Share the ROI model with finance.,"[""Competitive evaluation is down to two vendors"", ""Budget is committed but the timing sits behind a leadership review"", ""Champion is willing to socialize the business case internally""]","[""Get procurement paperwork started"", ""Confirm the security questionnaire owner""]",Slipped,"[""CNT-2031"", ""CNT-2035""]","[""USR-3012""]"
MTG-6039,ACC-1008,DL-4147,USR-3012,Nexus Financial / Intellia Renewal Review,Renewal Review,2026-08-30 14:30:00,2026-08-30 15:15:00,45,Customer site,Scheduled,Align business outcome goals with the executive sponsor,,[],[],,"[""CNT-2036"", ""CNT-2031""]","[""USR-3012""]"
MTG-6040,ACC-1009,DL-4088,USR-3013,Strata Energy / Intellia Renewal Review,Renewal Review,2026-07-02 15:30:00,2026-07-02 16:00:00,30,Microsoft Teams,Completed,Align business outcome goals with the executive sponsor,Competitive evaluation is down to two vendors. Schedule the executive alignment call.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Budget is committed but the timing sits behind a leadership review"", ""The data team wants incremental sync rather than full refresh""]","[""Confirm the security questionnaire owner"", ""Get procurement paperwork started""]",Held,"[""CNT-2037""]","[""USR-3013""]"
MTG-6041,ACC-1009,DL-4028,USR-3013,Strata Energy / Intellia Executive Briefing,Executive Briefing,2026-09-16 11:30:00,2026-09-16 12:30:00,60,Google Meet,Scheduled,Quarterly business review and adoption update,,[],[],,"[""CNT-2037"", ""CNT-2038"", ""CNT-2040""]","[""USR-3013""]"
MTG-6042,ACC-1009,DL-4148,USR-3013,Strata Energy / Intellia Negotiation,Negotiation,2026-07-10 08:30:00,2026-07-10 09:30:00,60,Microsoft Teams,Completed,Confirm the security review timeline and owners,Champion is willing to socialize the business case internally. Circulate pilot success criteria for sign-off.,"[""Security review is the critical path item"", ""Competitive evaluation is down to two vendors"", ""Forecast accuracy is the metric leadership actually cares about""]","[""Confirm the security questionnaire owner"", ""Circulate pilot success criteria for sign-off""]",No decision,"[""CNT-2039"", ""CNT-2040"", ""CNT-2037""]","[""USR-3013""]"
MTG-6043,ACC-1009,DL-4088,USR-3013,Strata Energy / Intellia Discovery,Discovery,2026-08-29 17:00:00,2026-08-29 17:30:00,30,Zoom,Scheduled,Quarterly business review and adoption update,,[],[],,"[""CNT-2038"", ""CNT-2037"", ""CNT-2039""]","[""USR-3013""]"
MTG-6044,ACC-1009,DL-4028,USR-3013,Strata Energy / Intellia Negotiation,Negotiation,2026-07-14 16:30:00,2026-07-14 17:00:00,30,Microsoft Teams,Completed,Review the pilot results and agree next steps,Forecast accuracy is the metric leadership actually cares about. Send the mutual action plan by end of week.,"[""Forecast accuracy is the metric leadership actually cares about"", ""Champion is willing to socialize the business case internally"", ""Procurement requires an executive sponsor before paperwork moves""]","[""Schedule the executive alignment call"", ""Circulate pilot success criteria for sign-off""]",Slipped,"[""CNT-2037"", ""CNT-2039"", ""CNT-2038""]","[""USR-3013""]"
MTG-6045,ACC-1009,DL-4088,USR-3011,Strata Energy / Intellia Technical Validation,Technical Validation,2026-09-24 17:30:00,2026-09-24 18:15:00,45,Microsoft Teams,Scheduled,Review the pilot results and agree next steps,,[],[],,"[""CNT-2037""]","[""USR-3011""]"
MTG-6046,ACC-1009,DL-4148,USR-3013,Strata Energy / Intellia Discovery,Discovery,2026-06-28 09:00:00,2026-06-28 10:00:00,60,Microsoft Teams,Completed,Quarterly business review and adoption update,Forecast accuracy is the metric leadership actually cares about. Schedule the executive alignment call.,"[""Champion is willing to socialize the business case internally"", ""Procurement requires an executive sponsor before paperwork moves"", ""Competitive evaluation is down to two vendors""]","[""Confirm the security questionnaire owner"", ""Schedule the executive alignment call""]",Advanced,"[""CNT-2038""]","[""USR-3013""]"
MTG-6047,ACC-1010,DL-4149,USR-3009,Fintech Dynamics / Intellia Internal Sync,Internal Sync,2026-08-05 10:30:00,2026-08-05 11:00:00,30,Microsoft Teams,Completed,Align business outcome goals with the executive sponsor,Competitive evaluation is down to two vendors. Schedule the executive alignment call.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Budget is committed but the timing sits behind a leadership review"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Confirm the security questionnaire owner"", ""Circulate pilot success criteria for sign-off""]",Held,"[""CNT-2043"", ""CNT-2042""]","[""USR-3009""]"
MTG-6048,ACC-1010,DL-4089,USR-3001,Fintech Dynamics / Intellia QBR,QBR,2026-09-17 13:00:00,2026-09-17 13:30:00,30,Customer site,Scheduled,Technical deep dive on forecast accuracy,,[],[],,"[""CNT-2041"", ""CNT-2043"", ""CNT-2042""]","[""USR-3001""]"
MTG-6049,ACC-1010,DL-4029,USR-3001,Fintech Dynamics / Intellia Executive Briefing,Executive Briefing,2026-08-01 09:30:00,2026-08-01 10:30:00,60,Google Meet,Completed,"Walk through pricing, packaging and the ramp plan",Security review is the critical path item. Circulate pilot success criteria for sign-off.,"[""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Champion is willing to socialize the business case internally"", ""Procurement requires an executive sponsor before paperwork moves""]","[""Get procurement paperwork started"", ""Share the ROI model with finance""]",Advanced,"[""CNT-2042""]","[""USR-3001""]"
MTG-6050,ACC-1010,DL-4089,USR-3001,Fintech Dynamics / Intellia Demo,Demo,2026-06-28 11:30:00,2026-06-28 12:15:00,45,Customer site,Completed,"Walk through pricing, packaging and the ramp plan",Champion is willing to socialize the business case internally. Circulate pilot success criteria for sign-off.,"[""Budget is committed but the timing sits behind a leadership review"", ""Champion is willing to socialize the business case internally"", ""Forecast accuracy is the metric leadership actually cares about""]","[""Circulate pilot success criteria for sign-off"", ""Confirm the security questionnaire owner""]",Advanced,"[""CNT-2041""]","[""USR-3001""]"
MTG-6051,ACC-1010,DL-4149,USR-3001,Fintech Dynamics / Intellia Technical Validation,Technical Validation,2026-04-19 10:30:00,2026-04-19 11:15:00,45,Zoom,Completed,Review the pilot results and agree next steps,The data team wants incremental sync rather than full refresh. Get procurement paperwork started.,"[""The data team wants incremental sync rather than full refresh"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Forecast accuracy is the metric leadership actually cares about""]","[""Share the ROI model with finance"", ""Send the mutual action plan by end of week""]",Slipped,"[""CNT-2043"", ""CNT-2041"", ""CNT-2042""]","[""USR-3001""]"
MTG-6052,ACC-1010,DL-4089,USR-3001,Fintech Dynamics / Intellia Executive Briefing,Executive Briefing,2026-08-21 16:30:00,2026-08-21 17:15:00,45,Zoom,Scheduled,Technical deep dive on forecast accuracy,,[],[],,"[""CNT-2041""]","[""USR-3001""]"
MTG-6053,ACC-1010,DL-4089,USR-3007,Fintech Dynamics / Intellia Executive Briefing,Executive Briefing,2026-04-16 12:30:00,2026-04-16 13:00:00,30,Google Meet,Completed,Align business outcome goals with the executive sponsor,Budget is committed but the timing sits behind a leadership review. Schedule the executive alignment call.,"[""Procurement requires an executive sponsor before paperwork moves"", ""The data team wants incremental sync rather than full refresh"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Send the mutual action plan by end of week"", ""Schedule the executive alignment call""]",Held,"[""CNT-2043"", ""CNT-2042"", ""CNT-2041""]","[""USR-3007""]"
MTG-6054,ACC-1011,DL-4030,USR-3002,Quantum Edge / Intellia Internal Sync,Internal Sync,2026-04-30 10:30:00,2026-04-30 11:15:00,45,Google Meet,Completed,Review the pilot results and agree next steps,Forecast accuracy is the metric leadership actually cares about. Confirm the security questionnaire owner.,"[""Budget is committed but the timing sits behind a leadership review"", ""Forecast accuracy is the metric leadership actually cares about"", ""Adoption is concentrated in two teams; the rest of the org has not onboarded""]","[""Send the mutual action plan by end of week"", ""Schedule the executive alignment call""]",No decision,"[""CNT-2049"", ""CNT-2047""]","[""USR-3002""]"
MTG-6055,ACC-1011,DL-4090,USR-3002,Quantum Edge / Intellia Discovery,Discovery,2026-09-18 14:00:00,2026-09-18 14:30:00,30,Zoom,Scheduled,Validate the data connector and custom signal mapping,,[],[],,"[""CNT-2049"", ""CNT-2048"", ""CNT-2047""]","[""USR-3002""]"
MTG-6056,ACC-1011,DL-4150,USR-3002,Quantum Edge / Intellia Renewal Review,Renewal Review,2026-08-17 08:30:00,2026-08-17 09:30:00,60,Customer site,Scheduled,Technical deep dive on forecast accuracy,,[],[],,"[""CNT-2046""]","[""USR-3002""]"
MTG-6057,ACC-1011,DL-9003,USR-3002,Quantum Edge / Intellia QBR,QBR,2026-09-03 14:30:00,2026-09-03 15:15:00,45,Google Meet,Scheduled,Confirm the security review timeline and owners,,[],[],,"[""CNT-2049"", ""CNT-2044""]","[""USR-3002""]"
MTG-6058,ACC-1011,DL-9003,USR-3002,Quantum Edge / Intellia QBR,QBR,2026-06-03 14:30:00,2026-06-03 15:30:00,60,Zoom,Completed,"Renewal scope, timing and expansion options",Security review is the critical path item. Circulate pilot success criteria for sign-off.,"[""Adoption is concentrated in two teams; the rest of the org has not onboarded"", ""Procurement requires an executive sponsor before paperwork moves"", ""Competitive evaluation is down to two vendors""]","[""Get procurement paperwork started"", ""Circulate pilot success criteria for sign-off""]",Slipped,"[""CNT-2047"", ""CNT-2046"", ""CNT-2044""]","[""USR-3002""]"
MTG-6059,ACC-1011,DL-9003,USR-3002,Quantum Edge / Intellia Demo,Demo,2026-07-11 08:30:00,2026-07-11 09:15:00,45,Microsoft Teams,Completed,Validate the data connector and custom signal mapping,Adoption is concentrated in two teams; the rest of the org has not onboarded. Share the ROI model with finance.,"[""Procurement requires an executive sponsor before paperwork moves"", ""Competitive evaluation is down to two vendors"", ""Budget is committed but the timing sits behind a leadership review""]","[""Send the mutual action plan by end of week"", ""Circulate pilot success criteria for sign-off""]",Slipped,"[""CNT-2047"", ""CNT-2045"", ""CNT-2044""]","[""USR-3002""]"
MTG-6060,ACC-1011,DL-9003,USR-3002,Quantum Edge / Intellia Technical Validation,Technical Validation,2026-05-04 13:30:00,2026-05-04 14:00:00,30,Customer site,Completed,"Renewal scope, timing and expansion options",Forecast accuracy is the metric leadership actually cares about. Send the mutual action plan by end of week.,"[""The data team wants incremental sync rather than full refresh"", ""Budget is committed but the timing sits behind a leadership review"", ""Competitive evaluation is down to two vendors""]","[""Share the ROI model with finance"", ""Confirm the security questionnaire owner""]",Held,"[""CNT-2046"", ""CNT-2047"", ""CNT-2049""]","[""USR-3002""]"
MTG-6061,ACC-1012,DL-4151,USR-3002,Synergy Media / Intellia Demo,Demo,2026-09-05 09:00:00,2026-09-05 09:45:00,45,Google Meet,Scheduled,Validate the data connector and custom signal mapping,,[],[],,"[""CNT-2051"", ""CNT-2052""]","[""USR-3002""]"
