signal_id,account_id,contact_id,owner_id,signal_type,playbook,signal_title,severity,score,status,detected_at,expires_at,action_recommended,source_url
SIG-7016,ACC-1016,,USR-3010,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,90,New,2026-08-13 14:00:00,2026-08-22,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7016
SIG-7017,ACC-1017,,USR-3011,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Low,58,Actioned,2026-08-06 13:00:00,2026-09-10,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7017
SIG-7018,ACC-1018,CNT-2075,USR-3012,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Medium,72,Dismissed,2026-08-02 17:00:00,2026-10-10,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7018
SIG-7019,ACC-1019,,USR-3013,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,73,New,2026-08-04 08:00:00,2026-09-12,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7019
SIG-7020,ACC-1020,CNT-2086,USR-3001,Executive Departure,Executive Change,Head of RevOps moved on,High,92,New,2026-07-30 09:00:00,2026-09-12,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7020
SIG-7021,ACC-1021,,USR-3002,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,85,New,2026-08-09 12:00:00,2026-09-10,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7021
SIG-7022,ACC-1022,CNT-2098,USR-3005,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Medium,83,New,2026-08-10 13:00:00,2026-10-02,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7022
SIG-7023,ACC-1023,,USR-3006,Champion Movement,Champion Movement,Champion joined from a customer account,Low,60,New,2026-08-11 13:00:00,2026-09-11,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7023
SIG-7024,ACC-1024,,USR-3007,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,88,New,2026-08-06 17:00:00,2026-09-11,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7024
SIG-7025,ACC-1025,CNT-2108,USR-3009,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Medium,74,New,2026-08-08 15:00:00,2026-09-04,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7025
SIG-7026,ACC-1026,,USR-3010,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,Low,63,New,2026-08-11 16:00:00,2026-09-06,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7026
SIG-7027,ACC-1027,,USR-3011,M&A Event,M&A Event,Acquisition announced in target vertical,High,89,New,2026-08-13 12:00:00,2026-10-03,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7027
SIG-7028,ACC-1028,CNT-2124,USR-3012,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,92,New,2026-08-12 08:00:00,2026-09-24,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7028
SIG-7029,ACC-1029,,USR-3013,M&A Event,M&A Event,Divestiture creates a new GTM entity,Low,64,New,2026-08-04 10:00:00,2026-09-08,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7029
SIG-7030,ACC-1030,,USR-3001,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,84,Actioned,2026-08-06 13:00:00,2026-10-01,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7030
SIG-7031,ACC-1031,CNT-2133,USR-3002,M&A Event,M&A Event,Divestiture creates a new GTM entity,Medium,76,New,2026-08-10 19:00:00,2026-09-05,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7031
SIG-7032,ACC-1032,,USR-3005,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,High,89,New,2026-07-31 12:00:00,2026-09-13,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7032
SIG-7033,ACC-1033,,USR-3006,Executive Departure,Executive Change,CRO departure announced,Low,65,New,2026-08-09 08:00:00,2026-09-23,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7033
SIG-7034,ACC-1034,,USR-3007,Champion Movement,Champion Movement,Champion joined from a customer account,Low,68,New,2026-08-07 11:00:00,2026-10-11,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7034
SIG-7035,ACC-1035,CNT-2153,USR-3009,Funding Round,M&A Event,Series D raised to fund GTM expansion,Low,62,New,2026-05-27 07:00:00,2026-09-24,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7035
SIG-7036,ACC-1036,CNT-2159,USR-3010,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,90,Actioned,2026-04-26 18:00:00,2026-09-21,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7036
SIG-7037,ACC-1037,,USR-3011,Executive Departure,Executive Change,VP Sales exited the business,Low,67,Dismissed,2026-05-03 10:00:00,2026-10-06,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7037
SIG-7038,ACC-1038,,USR-3012,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Low,58,New,2026-08-12 07:00:00,2026-10-02,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7038
SIG-7039,ACC-1039,CNT-2170,USR-3013,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,63,Actioned,2026-08-11 16:00:00,2026-09-27,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7039
SIG-7040,ACC-1040,CNT-2174,USR-3001,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,Low,69,New,2026-08-01 16:00:00,2026-09-07,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7040
SIG-7041,ACC-1041,,USR-3002,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,78,New,2026-08-02 08:00:00,2026-10-07,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7041
SIG-7042,ACC-1042,CNT-2189,USR-3005,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Medium,72,New,2026-07-31 09:00:00,2026-09-10,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7042
SIG-7043,ACC-1043,CNT-2194,USR-3006,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,87,New,2026-06-05 08:00:00,2026-09-08,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7043
SIG-7044,ACC-1044,CNT-2199,USR-3007,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,98,New,2026-08-11 17:00:00,2026-09-24,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7044
SIG-7045,ACC-1045,,USR-3009,Executive Departure,Executive Change,CRO departure announced,Medium,79,New,2026-08-03 16:00:00,2026-10-12,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7045
SIG-7046,ACC-1046,,USR-3010,M&A Event,M&A Event,Divestiture creates a new GTM entity,Medium,79,Dismissed,2026-08-12 17:00:00,2026-08-26,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7046
SIG-7047,ACC-1047,,USR-3011,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,78,New,2026-07-31 13:00:00,2026-10-07,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7047
SIG-7048,ACC-1048,CNT-2220,USR-3012,Funding Round,M&A Event,Series D raised to fund GTM expansion,Low,69,New,2026-08-05 19:00:00,2026-09-29,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7048
SIG-7049,ACC-1049,CNT-2223,USR-3013,Funding Round,M&A Event,Growth round closed ahead of plan,Low,62,New,2026-08-01 11:00:00,2026-08-30,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7049
SIG-7050,ACC-1050,,USR-3001,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,94,Actioned,2026-04-18 14:00:00,2026-10-09,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7050
SIG-7051,ACC-1051,CNT-2232,USR-3002,M&A Event,M&A Event,Divestiture creates a new GTM entity,Low,67,Dismissed,2026-06-10 14:00:00,2026-09-08,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7051
SIG-7052,ACC-1052,CNT-2235,USR-3005,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,Medium,70,New,2026-08-10 07:00:00,2026-09-24,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7052
SIG-7053,ACC-1053,CNT-2238,USR-3006,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Medium,81,New,2026-08-07 07:00:00,2026-10-01,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7053
SIG-7054,ACC-1054,,USR-3007,M&A Event,M&A Event,Acquisition announced in target vertical,Low,61,New,2026-08-04 19:00:00,2026-08-29,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7054
SIG-7055,ACC-1055,,USR-3009,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Medium,72,New,2026-08-05 15:00:00,2026-08-22,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7055
SIG-7056,ACC-1056,CNT-2254,USR-3010,Funding Round,M&A Event,Growth round closed ahead of plan,High,90,New,2026-08-10 08:00:00,2026-09-24,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7056
SIG-7057,ACC-1057,,USR-3011,Funding Round,M&A Event,Growth round closed ahead of plan,Low,66,New,2026-08-10 13:00:00,2026-09-16,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7057
SIG-7058,ACC-1058,,USR-3012,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,68,New,2026-08-09 09:00:00,2026-08-25,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7058
SIG-7059,ACC-1059,,USR-3013,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,Low,58,Actioned,2026-07-13 08:00:00,2026-08-22,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7059
SIG-7060,ACC-1060,CNT-2270,USR-3001,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,83,New,2026-07-07 13:00:00,2026-10-11,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7060
SIG-7061,ACC-1001,CNT-2004,USR-3002,Funding Round,M&A Event,Growth round closed ahead of plan,High,86,New,2026-08-05 19:00:00,2026-10-11,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7061
SIG-7062,ACC-1002,,USR-3005,Funding Round,M&A Event,New capital earmarked for revenue tooling,Medium,74,New,2026-08-13 13:00:00,2026-09-06,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7062
SIG-7063,ACC-1003,,USR-3006,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,94,Dismissed,2026-05-26 16:00:00,2026-08-19,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7063
SIG-7064,ACC-1004,CNT-2016,USR-3007,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,Medium,71,New,2026-08-07 15:00:00,2026-10-05,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7064
SIG-7065,ACC-1005,,USR-3009,Funding Round,M&A Event,Growth round closed ahead of plan,Medium,82,New,2026-08-10 14:00:00,2026-08-22,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7065
SIG-7066,ACC-1006,CNT-2023,USR-3010,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,78,New,2026-08-07 09:00:00,2026-09-27,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7066
SIG-7067,ACC-1007,,USR-3011,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,High,89,New,2026-08-08 19:00:00,2026-08-29,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7067
SIG-7068,ACC-1008,,USR-3012,Funding Round,M&A Event,Growth round closed ahead of plan,Low,69,New,2026-08-12 09:00:00,2026-09-27,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7068
SIG-7069,ACC-1009,CNT-2040,USR-3013,Funding Round,M&A Event,Growth round closed ahead of plan,Medium,78,New,2026-08-05 07:00:00,2026-10-03,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7069
SIG-7070,ACC-1010,CNT-2041,USR-3001,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Medium,83,New,2026-08-08 16:00:00,2026-10-10,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7070
SIG-7071,ACC-1011,CNT-2047,USR-3002,Executive Departure,Executive Change,CRO departure announced,Low,64,New,2026-08-10 09:00:00,2026-09-29,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7071
SIG-7072,ACC-1012,CNT-2052,USR-3005,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,65,Actioned,2026-07-29 09:00:00,2026-09-03,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7072
SIG-7073,ACC-1013,CNT-2055,USR-3006,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,77,New,2026-05-13 19:00:00,2026-09-27,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7073
SIG-7074,ACC-1014,,USR-3007,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,74,New,2026-08-12 15:00:00,2026-09-07,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7074
SIG-7075,ACC-1015,CNT-2063,USR-3009,Intent Score,Intent Spike,Comparison research against forecasting vendors,Medium,83,New,2026-05-30 12:00:00,2026-09-08,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7075
SIG-7076,ACC-1016,CNT-2066,USR-3010,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,High,91,Dismissed,2026-08-13 13:00:00,2026-10-04,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7076
SIG-7077,ACC-1017,CNT-2072,USR-3011,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,Low,66,Dismissed,2026-04-19 17:00:00,2026-09-22,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7077
SIG-7078,ACC-1018,CNT-2079,USR-3012,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,58,New,2026-06-28 12:00:00,2026-09-30,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7078
SIG-7079,ACC-1019,,USR-3013,Executive Departure,Executive Change,Head of RevOps moved on,High,87,New,2026-07-31 13:00:00,2026-09-06,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7079
SIG-7080,ACC-1020,,USR-3001,Intent Score,Intent Spike,Comparison research against forecasting vendors,Low,63,New,2026-08-03 11:00:00,2026-10-09,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7080
SIG-7081,ACC-1021,,USR-3002,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Low,58,New,2026-08-05 14:00:00,2026-10-11,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7081
SIG-7082,ACC-1022,CNT-2094,USR-3005,M&A Event,M&A Event,Acquisition announced in target vertical,High,89,Dismissed,2026-07-23 17:00:00,2026-08-31,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7082
SIG-7083,ACC-1023,,USR-3006,Champion Movement,Champion Movement,Champion joined from a customer account,Medium,71,Actioned,2026-08-08 08:00:00,2026-09-07,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7083
SIG-7084,ACC-1024,,USR-3007,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Medium,80,New,2026-07-31 16:00:00,2026-08-28,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7084
SIG-7085,ACC-1025,CNT-2111,USR-3009,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Low,61,New,2026-08-06 17:00:00,2026-08-27,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7085
SIG-7086,ACC-1026,CNT-2114,USR-3010,Champion Movement,Champion Movement,Champion joined from a customer account,Low,69,New,2026-08-02 08:00:00,2026-09-09,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7086
SIG-7087,ACC-1027,,USR-3011,M&A Event,M&A Event,Acquisition announced in target vertical,Low,61,New,2026-07-31 09:00:00,2026-09-02,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7087
SIG-7088,ACC-1028,CNT-2124,USR-3012,Executive Departure,Executive Change,Head of RevOps moved on,High,85,Actioned,2026-08-03 09:00:00,2026-09-28,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7088
SIG-7089,ACC-1029,,USR-3013,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,Medium,74,New,2026-08-04 08:00:00,2026-08-21,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7089
SIG-7090,ACC-1030,,USR-3001,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Medium,70,New,2026-08-06 07:00:00,2026-08-28,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7090
SIG-7091,ACC-1031,CNT-2134,USR-3002,Executive Departure,Executive Change,VP Sales exited the business,Low,63,New,2026-08-09 16:00:00,2026-09-28,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7091
SIG-7092,ACC-1032,CNT-2139,USR-3005,Executive Departure,Executive Change,CRO departure announced,High,90,New,2026-08-10 16:00:00,2026-09-17,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7092
SIG-7093,ACC-1033,,USR-3006,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",Low,67,New,2026-08-12 17:00:00,2026-09-09,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7093
SIG-7094,ACC-1034,CNT-2149,USR-3007,Executive Departure,Executive Change,Head of RevOps moved on,Low,64,Actioned,2026-07-31 17:00:00,2026-09-14,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7094
SIG-7095,ACC-1035,CNT-2153,USR-3009,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,Medium,83,New,2026-08-10 19:00:00,2026-09-19,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7095
SIG-7096,ACC-1036,CNT-2161,USR-3010,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Low,61,New,2026-08-11 07:00:00,2026-10-03,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7096
SIG-7097,ACC-1037,,USR-3011,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,Medium,70,New,2026-05-21 15:00:00,2026-08-20,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7097
SIG-7098,ACC-1038,CNT-2167,USR-3012,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Medium,74,Dismissed,2026-07-08 10:00:00,2026-08-28,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7098
SIG-7099,ACC-1039,,USR-3013,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,79,New,2026-08-03 08:00:00,2026-09-12,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7099
SIG-7100,ACC-1040,,USR-3001,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,96,New,2026-08-08 12:00:00,2026-09-14,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7100
SIG-7101,ACC-1041,,USR-3002,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,78,New,2026-08-03 11:00:00,2026-09-07,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7101
SIG-7102,ACC-1042,,USR-3005,Champion Movement,Champion Movement,Champion joined from a customer account,Low,62,New,2026-08-04 17:00:00,2026-09-27,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7102
SIG-7103,ACC-1043,CNT-2193,USR-3006,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Low,62,Actioned,2026-07-26 18:00:00,2026-09-11,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7103
SIG-7104,ACC-1044,CNT-2199,USR-3007,Executive Departure,Executive Change,CRO departure announced,Medium,74,New,2026-08-06 18:00:00,2026-09-06,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7104
SIG-7105,ACC-1045,,USR-3009,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Low,60,New,2026-08-06 13:00:00,2026-08-19,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7105
SIG-7106,ACC-1046,,USR-3010,Executive Departure,Executive Change,VP Sales exited the business,Medium,84,Dismissed,2026-07-31 18:00:00,2026-10-03,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7106
SIG-7107,ACC-1047,,USR-3011,Funding Round,M&A Event,Growth round closed ahead of plan,High,92,New,2026-08-06 09:00:00,2026-10-07,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7107
SIG-7108,ACC-1048,CNT-2222,USR-3012,Champion Movement,Champion Movement,Champion joined from a customer account,Low,58,New,2026-08-07 16:00:00,2026-08-27,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7108
SIG-7109,ACC-1049,,USR-3013,Champion Movement,Champion Movement,Champion joined from a customer account,Medium,83,New,2026-07-31 13:00:00,2026-08-22,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7109
SIG-7110,ACC-1050,CNT-2229,USR-3001,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Medium,80,New,2026-08-07 17:00:00,2026-09-12,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7110
SIG-7111,ACC-1051,CNT-2231,USR-3002,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,92,New,2026-08-06 12:00:00,2026-08-21,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7111
SIG-7112,ACC-1052,CNT-2237,USR-3005,Funding Round,M&A Event,Series D raised to fund GTM expansion,High,94,New,2026-08-12 15:00:00,2026-10-06,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7112
SIG-7113,ACC-1053,,USR-3006,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,High,89,New,2026-08-13 09:00:00,2026-08-30,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7113
SIG-7114,ACC-1054,CNT-2243,USR-3007,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,81,New,2026-08-02 14:00:00,2026-10-07,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7114
SIG-7115,ACC-1055,,USR-3009,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Low,64,New,2026-07-10 08:00:00,2026-10-10,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7115
SIG-7116,ACC-1056,CNT-2251,USR-3010,Executive Departure,Executive Change,CRO departure announced,High,97,Actioned,2026-08-05 10:00:00,2026-09-19,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7116
SIG-7117,ACC-1057,,USR-3011,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Low,67,Dismissed,2026-07-14 15:00:00,2026-09-18,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7117
SIG-7118,ACC-1058,,USR-3012,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,Medium,78,New,2026-08-05 09:00:00,2026-09-09,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7118
SIG-7119,ACC-1059,,USR-3013,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,Medium,84,New,2026-08-08 10:00:00,2026-08-23,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7119
