deal_id,account_id,owner_id,deal_name,deal_type,stage,amount,probability,forecast_category,close_date,created_date,stage_entered_at,last_activity_date,next_step,next_step_due_date,competitor,source,win_loss_reason
DL-4066,ACC-1047,USR-3007,Northwind Foods - New Logo,New Logo,Stage 5 - Closed Lost,160000,0,Omitted,2026-03-01,2025-12-13,2026-02-04,2026-02-16,,,In-house build,Outbound,No executive sponsor identified
DL-4067,ACC-1048,USR-3012,Ironclad Insurance - Renewal,Renewal,Stage 5 - Closed Lost,302000,0,Omitted,2026-06-05,2025-12-25,2026-05-22,2026-05-31,,,Gong,Inbound,Champion left mid-cycle
DL-4068,ACC-1049,USR-3013,Silverline Telecom - Renewal,Renewal,Stage 5 - Closed Won,52000,100,Closed,2026-01-30,2025-12-07,2026-01-16,2026-01-18,,,Clari,Marketing,Signal-to-action workflow beat incumbent
DL-4069,ACC-1050,USR-3012,Redwood Capital - New Logo,New Logo,Stage 5 - Closed Lost,598000,0,Omitted,2026-02-27,2025-12-08,2026-02-22,2026-03-15,,,Incumbent CRM,Partner,No executive sponsor identified
DL-4070,ACC-1051,USR-3002,Bluepeak Software - New Logo,New Logo,Stage 5 - Closed Lost,50000,0,Omitted,2026-03-13,2025-12-22,2026-02-13,2026-03-01,,,Gong,Expansion,Champion left mid-cycle
DL-4071,ACC-1052,USR-3010,Granite Utilities - Upsell,Upsell,Stage 5 - Closed Lost,512000,0,Omitted,2026-02-26,2026-01-05,2026-02-04,2026-02-15,,,Incumbent CRM,Partner,Lost to incumbent CRM add-on
DL-4072,ACC-1053,USR-3006,Meridian Health - Renewal,Renewal,Stage 5 - Closed Lost,169000,0,Omitted,2026-04-02,2026-01-13,2026-03-29,2026-03-31,,,Incumbent CRM,Partner,Champion left mid-cycle
DL-4073,ACC-1054,USR-3007,Copperfield Retail - New Logo,New Logo,Stage 5 - Closed Won,162000,100,Closed,2026-06-24,2026-01-28,2026-05-25,2026-05-30,,,Incumbent CRM,Marketing,Fastest time to value in evaluation
DL-4074,ACC-1055,USR-3009,Lakeshore Manufacturing - Upsell,Upsell,Stage 5 - Closed Lost,27000,0,Omitted,2026-06-05,2026-01-16,2026-04-30,2026-05-04,,,In-house build,Marketing,No executive sponsor identified
DL-4075,ACC-1056,USR-3010,Ridgeline Data - Renewal,Renewal,Stage 5 - Closed Won,57000,100,Closed,2026-05-19,2026-01-16,2026-05-12,2026-05-19,,,In-house build,Inbound,Executive sponsor championed the rollout
DL-4076,ACC-1057,USR-3011,Foxglove Labs - New Logo,New Logo,Stage 5 - Closed Won,404000,100,Closed,2026-06-08,2026-01-20,2026-05-20,2026-05-31,,,Incumbent CRM,Inbound,Forecast accuracy proof-of-value landed
DL-4077,ACC-1058,USR-3012,Harborview Energy - Renewal,Renewal,Stage 5 - Closed Won,24000,100,Closed,2026-06-11,2026-01-11,2026-05-02,2026-05-09,,,Gong,Inbound,Forecast accuracy proof-of-value landed
DL-4078,ACC-1059,USR-3013,Stonebridge Bank - New Logo,New Logo,Stage 5 - Closed Won,43000,100,Closed,2026-03-16,2026-01-16,2026-02-17,2026-02-27,,,,Expansion,Forecast accuracy proof-of-value landed
DL-4079,ACC-1060,USR-3001,Wavelength Media - New Logo,New Logo,Stage 5 - Closed Lost,504000,0,Omitted,2026-04-12,2026-01-09,2026-03-11,2026-04-03,,,Clari,Outbound,Champion left mid-cycle
DL-4080,ACC-1001,USR-3002,Apex Logistics - New Logo,New Logo,Stage 5 - Closed Won,31000,100,Closed,2026-03-18,2026-01-23,2026-03-04,2026-03-22,,,People.ai,Expansion,Forecast accuracy proof-of-value landed
DL-4081,ACC-1002,USR-3011,Vortex Analytics - New Logo,New Logo,Stage 5 - Closed Won,132000,100,Closed,2026-03-20,2026-01-10,2026-02-28,2026-03-10,,,Clari,Marketing,Signal-to-action workflow beat incumbent
DL-4082,ACC-1003,USR-3006,CloudScale Systems - New Logo,New Logo,Stage 5 - Closed Lost,319000,0,Omitted,2026-05-12,2026-01-03,2026-04-18,2026-04-22,,,Clari,Inbound,No executive sponsor identified
DL-4083,ACC-1004,USR-3007,BioHealth Labs - Upsell,Upsell,Stage 5 - Closed Won,61000,100,Closed,2026-05-16,2026-01-12,2026-05-08,2026-05-12,,,People.ai,Partner,Consolidated three point tools
DL-4084,ACC-1005,USR-3009,OmniRetail Group - New Logo,New Logo,Stage 5 - Closed Lost,557000,0,Omitted,2026-04-14,2026-01-19,2026-04-06,2026-04-29,,,People.ai,Inbound,Lost to incumbent CRM add-on
DL-4085,ACC-1006,USR-3010,CyberGuard Networks - Upsell,Upsell,Stage 5 - Closed Lost,50000,0,Omitted,2026-05-27,2026-02-25,2026-05-22,2026-06-14,,,In-house build,Outbound,Budget frozen for the fiscal year
DL-4086,ACC-1007,USR-3011,DataPulse AI - Renewal,Renewal,Stage 5 - Closed Won,411000,100,Closed,2026-06-17,2026-02-21,2026-05-29,2026-06-18,,,Clari,Marketing,Forecast accuracy proof-of-value landed
DL-4087,ACC-1008,USR-3006,Nexus Financial - New Logo,New Logo,Stage 5 - Closed Won,105000,100,Closed,2026-07-15,2026-02-14,2026-06-11,2026-06-27,,,People.ai,Inbound,Executive sponsor championed the rollout
DL-4088,ACC-1009,USR-3005,Strata Energy - New Logo,New Logo,Stage 5 - Closed Won,102000,100,Closed,2026-04-22,2026-02-15,2026-04-06,2026-04-24,,,Gong,Expansion,Executive sponsor championed the rollout
DL-4089,ACC-1010,USR-3006,Fintech Dynamics - Upsell,Upsell,Stage 5 - Closed Won,16000,100,Closed,2026-05-17,2026-02-28,2026-05-04,2026-05-17,,,People.ai,Marketing,Fastest time to value in evaluation
DL-4090,ACC-1011,USR-3002,Quantum Edge - Renewal,Renewal,Stage 5 - Closed Won,178000,100,Closed,2026-05-22,2026-02-13,2026-04-29,2026-05-22,,,,Expansion,Fastest time to value in evaluation
DL-4091,ACC-1012,USR-3005,Synergy Media - Upsell,Upsell,Stage 5 - Closed Won,156000,100,Closed,2026-03-31,2026-02-10,2026-02-26,2026-03-03,,,Incumbent CRM,Expansion,Consolidated three point tools
DL-4092,ACC-1013,USR-3006,Astra Manufacturing - New Logo,New Logo,Stage 5 - Closed Won,435000,100,Closed,2026-04-21,2026-02-12,2026-04-07,2026-04-11,,,Gong,Inbound,Forecast accuracy proof-of-value landed
DL-4093,ACC-1014,USR-3007,Velocity Cloud - Upsell,Upsell,Stage 5 - Closed Won,616000,100,Closed,2026-07-03,2026-02-15,2026-06-05,2026-06-22,,,Clari,Partner,Signal-to-action workflow beat incumbent
DL-4094,ACC-1015,USR-3009,Horizon Ventures - Upsell,Upsell,Stage 5 - Closed Lost,589000,0,Omitted,2026-07-13,2026-02-09,2026-06-20,2026-07-05,,,Clari,Outbound,No executive sponsor identified
DL-4095,ACC-1016,USR-3010,Pinnacle Software - New Logo,New Logo,Stage 5 - Closed Won,337000,100,Closed,2026-05-05,2026-02-09,2026-04-02,2026-04-25,,,People.ai,Marketing,Forecast accuracy proof-of-value landed
DL-4096,ACC-1017,USR-3011,Aether Digital - New Logo,New Logo,Stage 5 - Closed Won,165000,100,Closed,2026-07-03,2026-02-05,2026-05-25,2026-06-02,,,In-house build,Outbound,Fastest time to value in evaluation
DL-4097,ACC-1018,USR-3012,Lumina Health - New Logo,New Logo,Stage 5 - Closed Won,132000,100,Closed,2026-05-04,2026-02-02,2026-04-18,2026-04-28,,,Gong,Expansion,Consolidated three point tools
DL-4098,ACC-1019,USR-3005,Crest Solutions - New Logo,New Logo,Stage 5 - Closed Won,216000,100,Closed,2026-04-18,2026-02-19,2026-04-14,2026-04-15,,,Clari,Outbound,Executive sponsor championed the rollout
DL-4099,ACC-1020,USR-3001,Trident Corp - Upsell,Upsell,Stage 2 - Qualification,327000,30,Pipeline,2027-01-08,2026-03-28,2026-07-09,2026-07-27,Run technical validation workshop,2026-08-25,Gong,Inbound,
DL-4100,ACC-1021,USR-3005,Beacon Utilities - New Logo,New Logo,Stage 1 - Discovery,61000,15,Pipeline,2026-08-15,2026-03-08,2026-07-12,2026-07-20,Send mutual action plan,2026-09-01,People.ai,Inbound,
DL-4101,ACC-1022,USR-3005,Core Networks - New Logo,New Logo,Stage 5 - Closed Lost,146000,0,Omitted,2026-06-21,2026-03-14,2026-06-04,2026-06-07,,,Incumbent CRM,Inbound,Lost to incumbent CRM add-on
DL-4102,ACC-1023,USR-3012,Echelon Labs - Renewal,Renewal,Stage 5 - Closed Lost,98000,0,Omitted,2026-08-01,2026-03-23,2026-07-21,2026-08-06,,,,Expansion,No executive sponsor identified
DL-4103,ACC-1024,USR-3007,Zenith Retail - New Logo,New Logo,Stage 5 - Closed Won,175000,100,Closed,2026-05-07,2026-03-15,2026-04-13,2026-04-30,,,Gong,Inbound,Executive sponsor championed the rollout
DL-4104,ACC-1025,USR-3012,Kinetix Robotics - New Logo,New Logo,Stage 5 - Closed Won,49000,100,Closed,2026-06-07,2026-03-04,2026-05-15,2026-05-20,,,People.ai,Outbound,Forecast accuracy proof-of-value landed
DL-4105,ACC-1026,USR-3010,Optima Insurance - New Logo,New Logo,Stage 3 - Evaluation,51000,55,Best Case,2026-08-22,2026-03-06,2026-06-27,2026-07-08,Run technical validation workshop,2026-08-24,People.ai,Inbound,
DL-4106,ACC-1027,USR-3011,Veritas Data - Upsell,Upsell,Stage 5 - Closed Won,23000,100,Closed,2026-04-19,2026-03-01,2026-03-15,2026-03-31,,,In-house build,Marketing,Forecast accuracy proof-of-value landed
DL-4107,ACC-1028,USR-3012,Vanguard Payments - Renewal,Renewal,Stage 5 - Closed Won,106000,100,Closed,2026-05-25,2026-03-23,2026-04-16,2026-05-05,,,People.ai,Inbound,Consolidated three point tools
DL-4108,ACC-1029,USR-3013,Solstice Energy - Renewal,Renewal,Stage 5 - Closed Won,165000,100,Closed,2026-06-13,2026-03-05,2026-05-25,2026-06-06,,,Clari,Partner,Consolidated three point tools
DL-4109,ACC-1030,USR-3001,Infini Telecom - New Logo,New Logo,Stage 5 - Closed Won,69000,100,Closed,2026-07-04,2026-03-14,2026-05-29,2026-06-16,,,Gong,Marketing,Consolidated three point tools
DL-4110,ACC-1031,USR-3002,Pulse Diagnostics - Upsell,Upsell,Stage 5 - Closed Lost,248000,0,Omitted,2026-07-29,2026-03-26,2026-07-18,2026-08-12,,,In-house build,Marketing,Budget frozen for the fiscal year
DL-4111,ACC-1032,USR-3005,Titan Industrial - New Logo,New Logo,Stage 5 - Closed Lost,49000,0,Omitted,2026-05-19,2026-03-18,2026-04-18,2026-04-25,,,Clari,Marketing,Lost to incumbent CRM add-on
DL-4112,ACC-1033,USR-3006,Prism Analytics - New Logo,New Logo,Stage 5 - Closed Won,420000,100,Closed,2026-04-23,2026-03-08,2026-04-13,2026-04-21,,,,Expansion,Forecast accuracy proof-of-value landed
DL-4113,ACC-1034,USR-3007,Cobalt Mining - New Logo,New Logo,Stage 5 - Closed Won,53000,100,Closed,2026-06-04,2026-04-05,2026-05-16,2026-05-19,,,Clari,Inbound,Signal-to-action workflow beat incumbent
DL-4114,ACC-1035,USR-3009,Sentry Security - New Logo,New Logo,Stage 5 - Closed Won,21000,100,Closed,2026-07-15,2026-04-02,2026-06-10,2026-06-26,,,Gong,Inbound,Forecast accuracy proof-of-value landed
DL-4115,ACC-1036,USR-3010,Helios Power - New Logo,New Logo,Stage 5 - Closed Lost,48000,0,Omitted,2026-06-15,2026-04-13,2026-06-02,2026-06-09,,,In-house build,Marketing,Budget frozen for the fiscal year
DL-4116,ACC-1037,USR-3007,Fortress Bank - Upsell,Upsell,Stage 2 - Qualification,94000,30,Pipeline,2026-10-18,2026-04-05,2026-07-01,2026-07-03,Run technical validation workshop,2026-08-26,Clari,Marketing,
DL-4117,ACC-1038,USR-3012,Clarity Health - New Logo,New Logo,Stage 5 - Closed Won,40000,100,Closed,2026-07-04,2026-04-13,2026-06-20,2026-07-02,,,,Marketing,Consolidated three point tools
DL-4118,ACC-1039,USR-3013,Nouveau Retail - New Logo,New Logo,Stage 1 - Discovery,45000,15,Pipeline,2026-12-02,2026-04-11,2026-07-18,2026-07-26,Send mutual action plan,2026-09-02,Clari,Partner,
DL-4119,ACC-1040,USR-3001,Orion Aerospace - New Logo,New Logo,Stage 5 - Closed Won,446000,100,Closed,2026-06-07,2026-04-23,2026-06-03,2026-06-05,,,People.ai,Partner,Executive sponsor championed the rollout
DL-4120,ACC-1041,USR-3002,Hyperion Cloud - Upsell,Upsell,Stage 5 - Closed Won,178000,100,Closed,2026-08-11,2026-04-05,2026-07-27,2026-08-13,,,People.ai,Marketing,Consolidated three point tools
DL-4121,ACC-1042,USR-3010,Astral Media - New Logo,New Logo,Stage 5 - Closed Won,93000,100,Closed,2026-07-15,2026-04-20,2026-06-09,2026-06-15,,,,Outbound,Executive sponsor championed the rollout
DL-4122,ACC-1043,USR-3006,Summit Financial - Renewal,Renewal,Stage 4 - Proposal,425000,75,Commit,2027-01-10,2026-04-13,2026-08-11,2026-08-13,Confirm security review timeline,2026-08-25,Clari,Partner,
