task_id,account_id,deal_id,owner_id,title,description,due_date,priority,status,source,created_at,completed_at
TSK-9067,ACC-1048,DL-4067,USR-3012,Update the close plan in CRM,Linked to Ironclad Insurance - Renewal.,2026-08-27,High,In Progress,email,2026-08-20,
TSK-9068,ACC-1049,DL-4068,USR-3013,Log the competitive intel from the last call,Linked to Silverline Telecom - Renewal.,2026-08-14,Low,Open,manual,2026-07-25,
TSK-9069,ACC-1050,DL-4069,USR-3012,Follow up on the pilot results,Linked to Redwood Capital - New Logo.,2026-08-02,Medium,Done,manual,2026-07-25,2026-08-02
TSK-9070,ACC-1051,DL-4070,USR-3002,Send recap and mutual action plan,Linked to Bluepeak Software - New Logo.,2026-09-07,Medium,In Progress,manual,2026-08-31,
TSK-9071,ACC-1052,DL-4071,USR-3012,Book the executive alignment call,Linked to Granite Utilities - Upsell.,2026-08-07,Medium,Done,signal,2026-08-03,2026-08-07
TSK-9072,ACC-1053,DL-4072,USR-3006,Log the competitive intel from the last call,Linked to Meridian Health - Renewal.,2026-08-31,Medium,Open,manual,2026-08-15,
TSK-9073,ACC-1054,DL-4073,USR-3007,Draft the renewal proposal,Linked to Copperfield Retail - New Logo.,2026-08-07,High,Done,meeting,2026-07-25,2026-08-07
TSK-9074,ACC-1055,DL-4074,USR-3009,Update the close plan in CRM,Linked to Lakeshore Manufacturing - Upsell.,2026-08-12,Medium,Done,signal,2026-07-25,2026-08-12
TSK-9075,ACC-1056,DL-4075,USR-3010,Share the ROI model with finance,Linked to Ridgeline Data - Renewal.,2026-08-09,High,Done,email,2026-07-22,2026-08-09
TSK-9076,ACC-1057,DL-4076,USR-3011,Log the competitive intel from the last call,Linked to Foxglove Labs - New Logo.,2026-08-20,Low,Open,meeting,2026-08-16,
TSK-9077,ACC-1058,DL-4077,USR-3012,Draft the renewal proposal,Linked to Harborview Energy - Renewal.,2026-08-17,Medium,Open,meeting,2026-08-06,
TSK-9078,ACC-1059,DL-4078,USR-3013,Update the close plan in CRM,Linked to Stonebridge Bank - New Logo.,2026-08-23,Medium,Open,manual,2026-08-12,
TSK-9079,ACC-1060,DL-4079,USR-3006,Follow up on the pilot results,Linked to Wavelength Media - New Logo.,2026-08-07,Medium,In Progress,signal,2026-07-20,
TSK-9080,ACC-1001,DL-4080,USR-3002,Update the close plan in CRM,Linked to Apex Logistics - New Logo.,2026-08-21,Medium,In Progress,meeting,2026-08-16,
TSK-9081,ACC-1002,DL-4081,USR-3011,Share the ROI model with finance,Linked to Vortex Analytics - New Logo.,2026-08-27,High,Open,meeting,2026-08-21,
TSK-9082,ACC-1003,DL-4082,USR-3006,Share the ROI model with finance,Linked to CloudScale Systems - New Logo.,2026-08-24,Medium,In Progress,manual,2026-08-15,
TSK-9083,ACC-1004,DL-4083,USR-3007,Confirm the security questionnaire owner,Linked to BioHealth Labs - Upsell.,2026-08-25,Low,Open,meeting,2026-08-20,
TSK-9084,ACC-1005,DL-4084,USR-3009,Confirm the security questionnaire owner,Linked to OmniRetail Group - New Logo.,2026-08-22,Medium,Open,signal,2026-08-13,
TSK-9085,ACC-1006,DL-4085,USR-3009,Book the executive alignment call,Linked to CyberGuard Networks - Upsell.,2026-08-30,Medium,Open,manual,2026-08-19,
TSK-9086,ACC-1007,DL-4086,USR-3011,Book the executive alignment call,Linked to DataPulse AI - Renewal.,2026-08-10,High,Open,meeting,2026-07-22,
TSK-9087,ACC-1008,DL-4087,USR-3006,Prepare the QBR deck,Linked to Nexus Financial - New Logo.,2026-08-25,High,In Progress,manual,2026-08-19,
TSK-9088,ACC-1009,DL-4088,USR-3005,Update the close plan in CRM,Linked to Strata Energy - New Logo.,2026-09-04,Low,Open,email,2026-08-24,
TSK-9089,ACC-1010,DL-4089,USR-3006,Confirm the security questionnaire owner,Linked to Fintech Dynamics - Upsell.,2026-08-07,Medium,Open,email,2026-07-22,
TSK-9090,ACC-1011,DL-4090,USR-3002,Follow up on the pilot results,Linked to Quantum Edge - Renewal.,2026-08-14,High,Open,signal,2026-08-06,
TSK-9091,ACC-1012,DL-4091,USR-3005,Prepare the QBR deck,Linked to Synergy Media - Upsell.,2026-08-18,Medium,Open,manual,2026-08-05,
TSK-9092,ACC-1013,DL-4092,USR-3006,Follow up on the pilot results,Linked to Astra Manufacturing - New Logo.,2026-08-11,High,Open,meeting,2026-08-03,
TSK-9093,ACC-1014,DL-4093,USR-3007,Draft the renewal proposal,Linked to Velocity Cloud - Upsell.,2026-09-01,Medium,In Progress,meeting,2026-08-15,
TSK-9094,ACC-1015,DL-4094,USR-3009,Log the competitive intel from the last call,Linked to Horizon Ventures - Upsell.,2026-09-04,Low,In Progress,email,2026-08-16,
TSK-9095,ACC-1016,DL-4095,USR-3010,Update the close plan in CRM,Linked to Pinnacle Software - New Logo.,2026-08-08,Medium,Done,meeting,2026-07-25,2026-08-08
TSK-9096,ACC-1017,DL-4096,USR-3011,Log the competitive intel from the last call,Linked to Aether Digital - New Logo.,2026-08-08,High,Open,manual,2026-08-01,
TSK-9097,ACC-1018,DL-4097,USR-3012,Send recap and mutual action plan,Linked to Lumina Health - New Logo.,2026-08-06,Medium,Done,manual,2026-07-26,2026-08-06
TSK-9098,ACC-1019,DL-4098,USR-3005,Draft the renewal proposal,Linked to Crest Solutions - New Logo.,2026-08-06,Low,Open,manual,2026-07-18,
TSK-9099,ACC-1020,DL-4099,USR-3002,Draft the renewal proposal,Linked to Trident Corp - Upsell.,2026-09-02,Medium,Open,email,2026-08-28,
TSK-9100,ACC-1021,DL-4100,USR-3001,Prepare the QBR deck,Linked to Beacon Utilities - New Logo.,2026-08-29,Medium,Open,meeting,2026-08-16,
TSK-9101,ACC-1022,DL-4101,USR-3005,Book the executive alignment call,Linked to Core Networks - New Logo.,2026-08-17,Medium,Open,manual,2026-07-28,
TSK-9102,ACC-1023,DL-4102,USR-3011,Chase the signed order form,Linked to Echelon Labs - Renewal.,2026-08-31,High,Open,email,2026-08-11,
TSK-9103,ACC-1024,DL-4103,USR-3012,Draft the renewal proposal,Linked to Zenith Retail - New Logo.,2026-08-05,Low,In Progress,manual,2026-07-17,
TSK-9104,ACC-1025,DL-4104,USR-3012,Book the executive alignment call,Linked to Kinetix Robotics - New Logo.,2026-08-15,Medium,Open,email,2026-08-01,
TSK-9105,ACC-1026,DL-4105,USR-3010,Log the competitive intel from the last call,Linked to Optima Insurance - New Logo.,2026-09-01,Low,Open,meeting,2026-08-30,
TSK-9106,ACC-1027,DL-4106,USR-3011,Follow up on the pilot results,Linked to Veritas Data - Upsell.,2026-08-20,Medium,Open,meeting,2026-08-02,
TSK-9107,ACC-1028,DL-4107,USR-3012,Log the competitive intel from the last call,Linked to Vanguard Payments - Renewal.,2026-08-31,Medium,In Progress,signal,2026-08-26,
TSK-9108,ACC-1029,DL-4108,USR-3011,Follow up on the pilot results,Linked to Solstice Energy - Renewal.,2026-08-28,Low,Open,signal,2026-08-17,
TSK-9109,ACC-1030,DL-4109,USR-3001,Chase the signed order form,Linked to Infini Telecom - New Logo.,2026-08-29,Medium,Open,signal,2026-08-18,
TSK-9110,ACC-1031,DL-4110,USR-3002,Update the close plan in CRM,Linked to Pulse Diagnostics - Upsell.,2026-08-11,Medium,Open,signal,2026-08-02,
TSK-9111,ACC-1032,DL-4111,USR-3005,Prepare the QBR deck,Linked to Titan Industrial - New Logo.,2026-09-03,Medium,Open,manual,2026-08-14,
TSK-9112,ACC-1033,DL-4112,USR-3006,Share the ROI model with finance,Linked to Prism Analytics - New Logo.,2026-08-31,High,Open,signal,2026-08-14,
TSK-9113,ACC-1034,DL-4113,USR-3007,Chase the signed order form,Linked to Cobalt Mining - New Logo.,2026-08-27,High,In Progress,meeting,2026-08-18,
TSK-9114,ACC-1035,DL-4114,USR-3009,Confirm the security questionnaire owner,Linked to Sentry Security - New Logo.,2026-08-29,Low,Open,signal,2026-08-27,
TSK-9115,ACC-1036,DL-4115,USR-3002,Chase the signed order form,Linked to Helios Power - New Logo.,2026-09-06,Medium,In Progress,meeting,2026-08-22,
TSK-9116,ACC-1037,DL-4116,USR-3011,Book the executive alignment call,Linked to Fortress Bank - Upsell.,2026-08-10,Medium,Done,manual,2026-07-27,2026-08-10
TSK-9117,ACC-1038,DL-4117,USR-3012,Draft the renewal proposal,Linked to Clarity Health - New Logo.,2026-08-14,Medium,Open,signal,2026-07-26,
TSK-9118,ACC-1039,DL-4118,USR-3013,Prepare the QBR deck,Linked to Nouveau Retail - New Logo.,2026-08-30,Medium,Open,manual,2026-08-12,
TSK-9119,ACC-1040,DL-4119,USR-3001,Update the close plan in CRM,Linked to Orion Aerospace - New Logo.,2026-08-18,Medium,In Progress,email,2026-08-09,
TSK-9120,ACC-1041,DL-4120,USR-3002,Prepare the QBR deck,Linked to Hyperion Cloud - Upsell.,2026-08-20,High,Open,meeting,2026-08-14,
TSK-9121,ACC-1042,DL-4121,USR-3010,Confirm the security questionnaire owner,Linked to Astral Media - New Logo.,2026-08-31,Medium,In Progress,manual,2026-08-19,
TSK-9122,ACC-1043,DL-4122,USR-3006,Update the close plan in CRM,Linked to Summit Financial - Renewal.,2026-08-17,Medium,In Progress,email,2026-08-01,
TSK-9123,ACC-1044,DL-4123,USR-3007,Log the competitive intel from the last call,Linked to Vector Biotech - Upsell.,2026-08-29,Medium,Open,email,2026-08-23,
TSK-9124,ACC-1045,DL-4124,USR-3013,Follow up on the pilot results,Linked to Eclipse Systems - New Logo.,2026-08-01,Medium,Open,email,2026-07-14,
TSK-9125,ACC-1046,DL-4125,USR-3013,Prepare the QBR deck,Linked to Matrix Logistics - Renewal.,2026-08-24,Medium,Open,signal,2026-08-08,
TSK-9126,ACC-1047,DL-4126,USR-3011,Draft the renewal proposal,Linked to Northwind Foods - Upsell.,2026-08-06,Low,Done,meeting,2026-08-02,2026-08-06
TSK-9127,ACC-1048,DL-4127,USR-3012,Book the executive alignment call,Linked to Ironclad Insurance - Renewal.,2026-09-07,Medium,Open,email,2026-09-04,
TSK-9128,ACC-1049,DL-4128,USR-3013,Chase the signed order form,Linked to Silverline Telecom - New Logo.,2026-08-18,High,Open,meeting,2026-07-30,
TSK-9129,ACC-1050,DL-4129,USR-3007,Confirm the security questionnaire owner,Linked to Redwood Capital - New Logo.,2026-08-10,Medium,Done,meeting,2026-08-05,2026-08-10
TSK-9130,ACC-1051,DL-4130,USR-3002,Confirm the security questionnaire owner,Linked to Bluepeak Software - New Logo.,2026-09-07,High,In Progress,meeting,2026-08-29,
TSK-9131,ACC-1052,DL-4131,USR-3005,Send recap and mutual action plan,Linked to Granite Utilities - New Logo.,2026-08-06,Medium,Done,manual,2026-07-20,2026-08-06
TSK-9132,ACC-1053,DL-4132,USR-3002,Prepare the QBR deck,Linked to Meridian Health - Upsell.,2026-09-03,Medium,Open,manual,2026-08-31,
TSK-9133,ACC-1054,DL-4133,USR-3005,Share the ROI model with finance,Linked to Copperfield Retail - New Logo.,2026-08-26,High,Open,signal,2026-08-07,
TSK-9134,ACC-1055,DL-4134,USR-3011,Follow up on the pilot results,Linked to Lakeshore Manufacturing - New Logo.,2026-08-22,High,In Progress,meeting,2026-08-12,
TSK-9135,ACC-1056,DL-4135,USR-3013,Update the close plan in CRM,Linked to Ridgeline Data - Renewal.,2026-08-25,High,Open,meeting,2026-08-20,
TSK-9136,ACC-1057,DL-4136,USR-3011,Log the competitive intel from the last call,Linked to Foxglove Labs - New Logo.,2026-08-12,Medium,Done,signal,2026-08-01,2026-08-12
TSK-9137,ACC-1058,DL-4137,USR-3012,Log the competitive intel from the last call,Linked to Harborview Energy - Renewal.,2026-08-07,Medium,Done,manual,2026-07-23,2026-08-07
TSK-9138,ACC-1059,DL-4138,USR-3013,Update the close plan in CRM,Linked to Stonebridge Bank - Renewal.,2026-08-31,Medium,Open,signal,2026-08-18,
TSK-9139,ACC-1060,DL-4139,USR-3001,Book the executive alignment call,Linked to Wavelength Media - New Logo.,2026-08-03,Medium,Open,signal,2026-07-28,
TSK-9140,ACC-1001,DL-4140,USR-3002,Chase the signed order form,Linked to Apex Logistics - New Logo.,2026-08-16,Medium,In Progress,manual,2026-08-13,
TSK-9141,ACC-1002,DL-4141,USR-3013,Update the close plan in CRM,Linked to Vortex Analytics - New Logo.,2026-08-11,Medium,Open,manual,2026-08-02,
TSK-9142,ACC-1003,DL-4142,USR-3006,Update the close plan in CRM,Linked to CloudScale Systems - New Logo.,2026-08-27,Low,Open,email,2026-08-22,
TSK-9143,ACC-1004,DL-4143,USR-3001,Follow up on the pilot results,Linked to BioHealth Labs - Upsell.,2026-08-05,High,Done,email,2026-07-29,2026-08-05
TSK-9144,ACC-1005,DL-4144,USR-3009,Confirm the security questionnaire owner,Linked to OmniRetail Group - Upsell.,2026-08-28,High,In Progress,manual,2026-08-23,
TSK-9145,ACC-1006,DL-4145,USR-3010,Send recap and mutual action plan,Linked to CyberGuard Networks - Renewal.,2026-08-30,Low,In Progress,meeting,2026-08-11,
TSK-9146,ACC-1007,DL-4146,USR-3011,Update the close plan in CRM,Linked to DataPulse AI - Renewal.,2026-08-19,Medium,Open,meeting,2026-08-11,
TSK-9147,ACC-1008,DL-4147,USR-3012,Update the close plan in CRM,Linked to Nexus Financial - Renewal.,2026-08-03,Low,Done,signal,2026-07-18,2026-08-03
TSK-9148,ACC-1009,DL-4148,USR-3013,Log the competitive intel from the last call,Linked to Strata Energy - Upsell.,2026-08-07,Medium,In Progress,meeting,2026-08-03,
TSK-9149,ACC-1010,DL-4149,USR-3001,Follow up on the pilot results,Linked to Fintech Dynamics - Upsell.,2026-08-23,High,Open,meeting,2026-08-05,
TSK-9150,ACC-1011,DL-4150,USR-3009,Send recap and mutual action plan,Linked to Quantum Edge - Renewal.,2026-08-10,High,Done,manual,2026-08-07,2026-08-10
TSK-9151,ACC-1012,DL-4151,USR-3012,Prepare the QBR deck,Linked to Synergy Media - Renewal.,2026-08-18,Medium,In Progress,email,2026-08-01,
TSK-9152,ACC-1013,DL-4152,USR-3005,Prepare the QBR deck,Linked to Astra Manufacturing - New Logo.,2026-08-23,Medium,Open,manual,2026-08-03,
TSK-9153,ACC-1014,DL-4153,USR-3007,Share the ROI model with finance,Linked to Velocity Cloud - Renewal.,2026-08-22,Low,Open,meeting,2026-08-02,
TSK-9154,ACC-1015,DL-4154,USR-3001,Update the close plan in CRM,Linked to Horizon Ventures - New Logo.,2026-08-14,Low,Open,meeting,2026-07-27,
TSK-9155,ACC-1016,DL-4155,USR-3009,Draft the renewal proposal,Linked to Pinnacle Software - New Logo.,2026-08-14,High,Open,email,2026-07-25,
TSK-9156,ACC-1017,DL-4156,USR-3011,Prepare the QBR deck,Linked to Aether Digital - New Logo.,2026-08-07,Low,Done,signal,2026-07-19,2026-08-07
TSK-9157,ACC-1018,DL-4157,USR-3012,Prepare the QBR deck,Linked to Lumina Health - Renewal.,2026-09-04,Low,Open,signal,2026-09-02,
TSK-9158,ACC-1019,DL-4158,USR-3013,Draft the renewal proposal,Linked to Crest Solutions - New Logo.,2026-08-26,Low,In Progress,meeting,2026-08-18,
TSK-9159,ACC-1020,DL-4159,USR-3005,Book the executive alignment call,Linked to Trident Corp - New Logo.,2026-08-20,Medium,In Progress,signal,2026-07-31,
TSK-9160,ACC-1021,DL-4160,USR-3002,Book the executive alignment call,Linked to Beacon Utilities - Renewal.,2026-09-01,Low,In Progress,email,2026-08-13,
TSK-9161,ACC-1022,DL-4161,USR-3001,Chase the signed order form,Linked to Core Networks - New Logo.,2026-08-13,Low,Open,meeting,2026-07-30,
TSK-9162,ACC-1023,DL-4162,USR-3006,Send recap and mutual action plan,Linked to Echelon Labs - New Logo.,2026-08-28,Low,In Progress,meeting,2026-08-10,
TSK-9163,ACC-1024,DL-4163,USR-3007,Log the competitive intel from the last call,Linked to Zenith Retail - New Logo.,2026-09-07,High,In Progress,manual,2026-08-26,
TSK-9164,ACC-1025,DL-4164,USR-3009,Draft the renewal proposal,Linked to Kinetix Robotics - New Logo.,2026-08-16,Medium,Open,meeting,2026-08-02,
TSK-9165,ACC-1026,DL-4165,USR-3010,Book the executive alignment call,Linked to Optima Insurance - New Logo.,2026-08-07,High,Done,signal,2026-08-02,2026-08-07
TSK-9166,ACC-1027,DL-4166,USR-3001,Confirm the security questionnaire owner,Linked to Veritas Data - Renewal.,2026-09-01,High,In Progress,meeting,2026-08-14,
TSK-9167,ACC-1028,DL-4167,USR-3007,Book the executive alignment call,Linked to Vanguard Payments - New Logo.,2026-08-28,Low,Open,manual,2026-08-21,
TSK-9168,ACC-1029,DL-4168,USR-3009,Draft the renewal proposal,Linked to Solstice Energy - Renewal.,2026-08-13,Low,Open,manual,2026-08-05,
TSK-9169,ACC-1030,DL-4169,USR-3001,Send recap and mutual action plan,Linked to Infini Telecom - New Logo.,2026-08-19,Low,Open,meeting,2026-08-05,
TSK-9170,ACC-1031,DL-4170,USR-3007,Update the close plan in CRM,Linked to Pulse Diagnostics - Upsell.,2026-08-01,High,Open,manual,2026-07-28,
